symbols,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, AXSUSDT.BINANCE",981.72%,1392,-25868.38,{'2023-01-14': -25868.38},1
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, EOSUSDT.BINANCE",393.51%,1284,-11158.95,{'2023-05-13': -11158.95},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, EOSUSDT.BINANCE",346.72%,1178,-12188.47,{'2023-05-13': -12188.47},1
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, DOTUSDT.BINANCE",401.29%,1255,-17748.6,{'2023-01-14': -17748.6},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, DOTUSDT.BINANCE",354.49%,1149,-18039.13,{'2023-01-14': -18039.13},1
"AAVEUSDT.BINANCE, DOTUSDT.BINANCE, UNIUSDT.BINANCE",411.59%,1230,-23634.66,{'2023-01-14': -23634.66},1
"AAVEUSDT.BINANCE, CHZUSDT.BINANCE, DOTUSDT.BINANCE",484.13%,1290,-40327.66,{'2023-01-14': -40327.66},1
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, DOTUSDT.BINANCE",837.75%,1300,-34433.35,{'2023-01-14': -34433.35},1
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, LTCUSDT.BINANCE",526.5%,1249,-32210.75,{'2023-03-10': -32210.75},1
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, UNIUSDT.BINANCE",427.79%,1236,-13948.45,{'2023-01-14': -13948.45},1
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, XRPUSDT.BINANCE",759.95%,1284,-197886.1,{'2023-03-29': -197886.1},1
"AAVEUSDT.BINANCE, CHZUSDT.BINANCE, DOGEUSDT.BINANCE",500.33%,1296,-28007.07,{'2023-01-14': -28007.07},1
"AAVEUSDT.BINANCE, DOGEUSDT.BINANCE, OGNUSDT.BINANCE",506.58%,1398,-88926.66,{'2023-07-24': -88926.66},1
"1000SHIBUSDT.BINANCE, AAVEUSDT.BINANCE, DOGEUSDT.BINANCE",853.96%,1306,-23961.24,{'2023-01-14': -23961.24},1
"AAVEUSDT.BINANCE, LINKUSDT.BINANCE, MATICUSDT.BINANCE",560.2%,1338,-12121.65,{'2023-01-29': -12121.65},1
"AAVEUSDT.BINANCE, LINKUSDT.BINANCE, LTCUSDT.BINANCE",527.62%,1275,-32224.42,{'2023-03-10': -32224.42},1
"AAVEUSDT.BINANCE, BNBUSDT.BINANCE, LTCUSDT.BINANCE",479.71%,1143,-32193.26,{'2023-03-10': -32193.26},1
"AAVEUSDT.BINANCE, LINKUSDT.BINANCE, UNIUSDT.BINANCE",428.91%,1262,-13076.34,{'2023-01-14': -13076.34},1
