params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",403.57%,747,-34707.93,{'2023-01-14': -34707.93},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",310.13%,741,-9652.74,{},0
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",805.38%,754,-361040.81,{'2023-01-23': -361040.81},1
"continuous_increase_rate_0.002, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",500.21%,745,-49910.38,{'2023-01-23': -49910.38},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",884.2%,728,-56615.54,"{'2023-01-05': -12683.93, '2023-01-14': -56615.54}",2
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",520.5%,706,-20287.46,"{'2023-01-14': -20287.46, '2023-03-15': -12746.47, '2023-04-18': -11392.31}",3
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",844.66%,724,-58423.91,{'2023-01-14': -58423.91},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",435.88%,692,-12626.44,{'2023-01-14': -12626.44},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",841.03%,711,-59131.68,{'2023-01-14': -59131.68},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",331.87%,692,-12853.04,{'2023-01-14': -12853.04},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",264.22%,697,-25560.39,{'2023-01-14': -25560.39},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",243.85%,677,-8888.38,{},0
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",2200.48%,684,-177386.56,{'2023-01-14': -177386.56},1
"continuous_increase_rate_0.003, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",340.56%,669,-64164.72,{'2023-01-14': -64164.72},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",569.26%,674,-34275.28,{'2023-01-14': -34275.28},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",315.76%,655,-10428.06,{'2023-01-14': -10428.06},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",219.21%,656,-14709.42,{'2023-01-14': -14709.42},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",312.61%,643,-8196.82,{},0
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",335.26%,659,-14338.28,{'2023-01-14': -14338.28},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",208.58%,645,-10607.44,{'2023-03-15': -10607.44},1
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",423.43%,638,-77405.14,"{'2023-01-14': -16459.75, '2023-01-23': -77405.14}",2
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",231.96%,626,-6542.08,{},0
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",1853.66%,621,-138601.47,"{'2023-01-14': -138601.47, '2023-01-23': -77405.14, '2023-06-24': -14468.99}",3
"continuous_increase_rate_0.004, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",616.1%,613,-47005.07,"{'2023-01-14': -47005.07, '2023-01-23': -18939.74}",2
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.01",206.44%,622,-14836.64,{'2023-01-14': -14836.64},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",209.14%,597,-7817.21,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",228.7%,609,-15168.54,{'2023-01-14': -15168.54},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",205.38%,594,-6564.71,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",153.13%,605,-4790.29,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",173.78%,596,-10241.24,{'2023-03-15': -10241.24},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",229.95%,578,-75289.42,{'2023-01-23': -75289.42},1
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",163.73%,569,-6253.7,{},0
"continuous_increase_rate_0.005, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",299.15%,561,-77116.27,"{'2023-01-14': -43594.44, '2023-01-23': -77116.27, '2023-06-24': -11886.69}",3
