params,total_pnl,close_trade,max_drawdown,over_drawdown,over_drawdown_count
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.03, trending_open_loss_rate_0.02",96.41%,512,-3507.89,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.01",108.48%,533,-3597.5,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.04, trending_open_loss_rate_0.02",93.25%,504,-2652.9,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.01",83.86%,507,-3597.5,{},0
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.05, trending_open_loss_rate_0.02",115.39%,480,-27701.68,{'2023-01-14': -27701.68},1
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.01",171.12%,487,-26003.54,{'2023-01-14': -26003.54},1
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.06, trending_open_loss_rate_0.02",103.29%,476,-15908.25,{'2023-01-14': -15908.25},1
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.01",163.08%,468,-26003.54,"{'2023-01-14': -26003.54, '2023-06-25': -14707.77}",2
"continuous_increase_rate_0.006, reduce_rate_0.002, trending_increase_rate_0.07, trending_open_loss_rate_0.02",92.58%,460,-15908.25,{'2023-01-14': -15908.25},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",1397.48%,601,-96687.8,"{'2023-02-19': -18128.78, '2023-04-17': -38796.75, '2023-06-22': -11433.84, '2023-07-14': -96687.8}",4
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",282.72%,566,-32149.49,"{'2023-04-17': -11324.96, '2023-07-14': -32149.49}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",1139.27%,592,-100895.63,"{'2023-04-17': -12386.65, '2023-07-14': -100895.63}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",304.26%,551,-33145.1,{'2023-07-14': -33145.1},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",1681.09%,568,-99741.22,"{'2023-04-18': -49238.89, '2023-07-14': -99741.22}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",404.27%,545,-33427.09,"{'2023-04-18': -18966.24, '2023-07-14': -33427.09}",2
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",533.75%,545,-32278.9,{'2023-07-14': -32278.9},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",273.44%,532,-33461.21,{'2023-07-14': -33461.21},1
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",3262.86%,511,-79149.2,"{'2023-01-14': -79149.2, '2023-04-18': -19426.23, '2023-07-14': -31195.49}",3
"continuous_increase_rate_0.002, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",922.39%,508,-39559.34,"{'2023-01-14': -39559.34, '2023-04-18': -12312.84, '2023-07-14': -17994.22}",3
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",578.31%,543,-131466.81,"{'2023-02-19': -14652.15, '2023-07-14': -131466.81}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",223.74%,517,-32102.54,{'2023-07-14': -32102.54},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",446.17%,536,-132763.43,{'2023-07-14': -132763.43},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",354.54%,497,-124909.45,"{'2023-01-14': -124909.45, '2023-07-14': -32756.68}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",430.82%,532,-131687.88,{'2023-07-14': -131687.88},1
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",339.27%,503,-127665.48,"{'2023-01-14': -127665.48, '2023-07-14': -33018.52}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",393.27%,472,-54928.49,"{'2023-01-14': -54928.49, '2023-01-18': -54557.56, '2023-07-14': -44539.0}",3
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",275.92%,473,-53348.51,"{'2023-01-14': -53348.51, '2023-07-14': -33065.3}",2
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",362.99%,454,-55248.38,"{'2023-01-14': -55248.38, '2023-01-18': -54920.41, '2023-07-14': -22902.55}",3
"continuous_increase_rate_0.003, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",246.48%,444,-30755.06,"{'2023-01-14': -30755.06, '2023-01-18': -28826.3, '2023-07-14': -13202.59}",3
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",314.18%,482,-12295.09,{'2023-02-19': -12295.09},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",169.65%,462,-5690.71,{},0
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",260.78%,471,-36636.89,"{'2023-04-18': -36636.89, '2023-07-14': -10495.21}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",261.58%,447,-97428.21,{'2023-01-14': -97428.21},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",232.99%,435,-20605.74,{'2023-04-18': -20605.74},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",175.92%,425,-9847.35,{},0
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.01",286.0%,411,-44397.93,"{'2023-01-14': -44397.93, '2023-01-18': -44259.65}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.06, trending_open_loss_rate_0.02",199.34%,418,-43120.62,{'2023-01-14': -43120.62},1
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.01",263.96%,392,-44748.86,"{'2023-01-14': -44748.86, '2023-01-18': -44651.84}",2
"continuous_increase_rate_0.004, reduce_rate_0.003, trending_increase_rate_0.07, trending_open_loss_rate_0.02",200.59%,384,-24923.3,"{'2023-01-14': -24923.3, '2023-01-18': -23519.53}",2
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.01",165.44%,497,-2972.28,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.03, trending_open_loss_rate_0.02",104.55%,476,-5627.75,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.01",114.82%,476,-9628.7,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.04, trending_open_loss_rate_0.02",106.51%,466,-4318.5,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.01",129.28%,447,-5031.12,{},0
"continuous_increase_rate_0.005, reduce_rate_0.003, trending_increase_rate_0.05, trending_open_loss_rate_0.02",114.41%,449,-3023.9,{},0
