symbolList,totalPnl,max_drawdown,over_drawdown,over_drawdown_count
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'OPUSDT.BINANCE']",864.7%,-25266.0,"{'2023-06-10': -25266.0, '2023-06-22': -13511.89}",2
"['BCHUSDT.BINANCE', 'SOLUSDT.BINANCE', 'APEUSDT.BINANCE']",485.23%,-15745.66,{},0
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'ETHUSDT.BINANCE']",931.86%,-28014.51,"{'2023-01-17': -18350.41, '2023-01-22': -23085.17, '2023-02-18': -27190.79, '2023-02-20': -11578.39, '2023-06-25': -22781.79}",5
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'DOTUSDT.BINANCE']",426.99%,-24441.99,"{'2023-02-18': -24441.99, '2023-02-20': -12440.68}",2
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'DOGEUSDT.BINANCE']",529.14%,-27958.98,"{'2023-02-18': -24726.54, '2023-02-19': -12104.93, '2023-06-25': -22773.6}",3
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'MKRUSDT.BINANCE']",800.86%,-25700.77,"{'2023-02-18': -25700.77, '2023-02-19': -12099.3, '2023-07-01': -10688.97}",3
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'MATICUSDT.BINANCE']",7938.44%,-654291.93,"{'2023-01-14': -14471.8, '2023-02-19': -654291.93, '2023-06-11': -387011.99}",3
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'LTCUSDT.BINANCE']",7108.51%,-1004499.6,"{'2023-02-18': -24380.7, '2023-03-10': -22683.54, '2023-03-14': -11091.32, '2023-06-24': -177186.5, '2023-06-30': -311907.7}",5
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'LINKUSDT.BINANCE']",437.89%,-24535.06,"{'2023-02-18': -24535.06, '2023-02-19': -14585.04}",2
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'BNBUSDT.BINANCE']",411.55%,-24344.81,"{'2023-02-18': -24344.81, '2023-02-19': -12089.54}",2
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'XLMUSDT.BINANCE']",475.34%,-27859.03,"{'2023-02-18': -24353.74, '2023-02-19': -12139.53, '2023-06-25': -22787.47}",3
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'BTCUSDT.BINANCE']",549.26%,-59860.02,"{'2023-02-18': -24271.21, '2023-03-18': -12477.14, '2023-03-20': -27559.38, '2023-06-26': -59860.02, '2023-06-27': -29866.54}",5
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'XRPUSDT.BINANCE']",489.0%,-24366.48,"{'2023-02-18': -24366.48, '2023-02-19': -12091.36}",2
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'COMPUSDT.BINANCE']",1041.72%,-33671.52,{'2023-02-18': -26496.6},1
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'OPUSDT.BINANCE']",1223.41%,-39571.26,"{'2023-02-18': -31601.39, '2023-02-19': -12085.37, '2023-03-15': -11014.31, '2023-06-22': -11144.81}",4
"['BCHUSDT.BINANCE', 'FILUSDT.BINANCE', 'APEUSDT.BINANCE']",471.29%,-28419.06,"{'2023-02-18': -24023.16, '2023-02-19': -12166.45, '2023-06-25': -22739.84}",3
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'DOTUSDT.BINANCE']",430.25%,-23262.92,"{'2023-01-17': -18533.44, '2023-01-22': -23147.84}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'DOGEUSDT.BINANCE']",503.38%,-23678.26,"{'2023-01-17': -18893.31, '2023-01-22': -23143.16}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'MKRUSDT.BINANCE']",506.34%,-23059.3,"{'2023-01-17': -18525.14, '2023-01-22': -22861.72, '2023-07-01': -10678.4}",3
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'MATICUSDT.BINANCE']",1527.27%,-156329.53,"{'2023-01-17': -19072.79, '2023-01-22': -23330.09, '2023-06-10': -57505.87, '2023-06-11': -10170.03, '2023-06-25': -117155.19}",5
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'LTCUSDT.BINANCE']",157076.42%,-20755677.75,"{'2023-01-17': -18924.22, '2023-01-22': -22981.8, '2023-03-10': -19169.91, '2023-06-30': -18886118.44, '2023-07-05': -20755677.75}",5
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'LINKUSDT.BINANCE']",430.44%,-23064.16,"{'2023-01-17': -18435.52, '2023-01-22': -22907.01}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'BNBUSDT.BINANCE']",404.81%,-23076.39,"{'2023-01-17': -18413.97, '2023-01-22': -22868.01}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'XLMUSDT.BINANCE']",888.7%,-128803.47,"{'2023-01-17': -19002.15, '2023-01-23': -18364.97, '2023-06-28': -16738.69, '2023-06-30': -23947.44}",4
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'BTCUSDT.BINANCE']",558.77%,-61104.23,"{'2023-01-17': -19313.03, '2023-01-22': -23939.56, '2023-01-26': -11368.6, '2023-03-18': -11430.3, '2023-03-20': -27210.29, '2023-06-26': -61104.23, '2023-06-27': -29869.25}",7
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'XRPUSDT.BINANCE']",467.42%,-23728.81,"{'2023-01-17': -18957.47, '2023-01-22': -23425.5}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'COMPUSDT.BINANCE']",431.58%,-22960.08,"{'2023-01-17': -18515.14, '2023-01-22': -15215.5}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'OPUSDT.BINANCE']",893.05%,-24210.19,"{'2023-01-17': -19266.61, '2023-06-22': -11530.75}",2
"['BCHUSDT.BINANCE', 'ETHUSDT.BINANCE', 'APEUSDT.BINANCE']",497.62%,-23249.7,{'2023-01-17': -18541.74},1
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'DOGEUSDT.BINANCE']",306.29%,-9624.09,{},0
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'MKRUSDT.BINANCE']",2310.94%,-241710.99,"{'2023-01-14': -150118.85, '2023-06-22': -193945.15}",2
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'MATICUSDT.BINANCE']",1749.05%,-161110.91,"{'2023-01-14': -14403.46, '2023-06-11': -10171.32, '2023-06-30': -113330.82}",3
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'LTCUSDT.BINANCE']",6827.32%,-1004533.34,"{'2023-06-24': -177187.8, '2023-06-30': -311515.05}",2
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'LINKUSDT.BINANCE']",284.1%,-10581.69,{},0
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'BNBUSDT.BINANCE']",2188.56%,-238256.92,"{'2023-01-14': -149088.76, '2023-01-15': -188618.59}",2
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'XLMUSDT.BINANCE']",259.43%,-9710.08,{},0
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'BTCUSDT.BINANCE']",334.91%,-61083.98,"{'2023-03-18': -11679.84, '2023-03-20': -27659.09, '2023-06-26': -61083.98, '2023-06-27': -29873.99}",4
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'XRPUSDT.BINANCE']",278.61%,-9654.03,{},0
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'COMPUSDT.BINANCE']",464.38%,-29385.78,{'2023-01-14': -19227.84},1
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'OPUSDT.BINANCE']",671.0%,-21556.63,{'2023-01-21': -16437.32},1
"['BCHUSDT.BINANCE', 'DOTUSDT.BINANCE', 'APEUSDT.BINANCE']",325.14%,-15271.46,{},0
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'MKRUSDT.BINANCE']",384.78%,-16821.94,{'2023-07-01': -10665.13},1
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'MATICUSDT.BINANCE']",1784.77%,-161654.93,"{'2023-01-14': -14357.92, '2023-06-11': -10170.86, '2023-06-24': -113773.47}",3
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'LTCUSDT.BINANCE']",6839.43%,-1004485.15,"{'2023-06-24': -177192.04, '2023-06-30': -311826.77}",2
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'LINKUSDT.BINANCE']",310.43%,-9666.3,{},0
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'BNBUSDT.BINANCE']",278.34%,-9697.85,{},0
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'XLMUSDT.BINANCE']",288.85%,-9732.34,{},0
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'BTCUSDT.BINANCE']",335.47%,-59991.04,"{'2023-03-18': -11307.4, '2023-03-20': -27419.44, '2023-06-26': -59991.04, '2023-06-27': -29865.22}",4
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'XRPUSDT.BINANCE']",270.5%,-9676.3,{},0
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'COMPUSDT.BINANCE']",335.65%,-9586.86,{},0
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'OPUSDT.BINANCE']",668.22%,-21609.62,"{'2023-01-21': -16388.95, '2023-06-22': -11404.43}",2
"['BCHUSDT.BINANCE', 'DOGEUSDT.BINANCE', 'APEUSDT.BINANCE']",423.53%,-14992.77,{},0
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'MATICUSDT.BINANCE']",1817.08%,-160114.15,"{'2023-01-14': -14403.64, '2023-06-11': -10172.88, '2023-06-22': -125387.17}",3
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'LTCUSDT.BINANCE']",331.86%,-16931.55,{'2023-07-01': -10597.89},1
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'LINKUSDT.BINANCE']",325.41%,-16843.03,{'2023-07-01': -10687.29},1
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'BNBUSDT.BINANCE']",302.99%,-16760.55,"{'2023-01-14': -11121.89, '2023-07-01': -10721.97}",2
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'XLMUSDT.BINANCE']",318.02%,-16881.2,{'2023-07-01': -10747.65},1
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'BTCUSDT.BINANCE']",473.82%,-27318.7,"{'2023-03-18': -11631.52, '2023-03-20': -27318.7, '2023-06-26': -18404.31, '2023-06-30': -14049.46, '2023-07-01': -10671.78}",5
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'XRPUSDT.BINANCE']",357.02%,-16769.38,{'2023-07-01': -10686.39},1
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'COMPUSDT.BINANCE']",559.36%,-30330.99,{},0
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'OPUSDT.BINANCE']",687.84%,-20905.62,"{'2023-01-21': -16407.46, '2023-07-01': -10927.43}",2
"['BCHUSDT.BINANCE', 'MKRUSDT.BINANCE', 'APEUSDT.BINANCE']",381.96%,-18397.9,{'2023-07-01': -10631.45},1
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'LTCUSDT.BINANCE']",5281.95%,-633383.51,"{'2023-01-14': -14379.38, '2023-03-10': -31467.42, '2023-06-10': -57651.78, '2023-06-11': -10178.24, '2023-06-24': -92627.21, '2023-06-30': -166671.32}",6
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'LINKUSDT.BINANCE']",1761.56%,-160612.18,"{'2023-01-14': -14369.62, '2023-06-11': -10172.76, '2023-06-25': -116033.73}",3
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'BNBUSDT.BINANCE']",1716.21%,-163821.79,"{'2023-01-14': -14392.89, '2023-06-11': -10166.77, '2023-06-30': -113864.2}",3
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'XLMUSDT.BINANCE']",1751.65%,-163501.76,"{'2023-01-14': -14898.83, '2023-06-11': -10157.82, '2023-06-25': -117055.51}",3
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'BTCUSDT.BINANCE']",1930.17%,-166080.65,"{'2023-01-14': -14399.69, '2023-01-22': -53131.05, '2023-06-10': -61254.31, '2023-06-11': -10169.59, '2023-06-26': -166080.65}",5
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'XRPUSDT.BINANCE']",1793.59%,-156644.36,"{'2023-01-14': -14390.7, '2023-06-11': -10164.67, '2023-06-30': -113635.07}",3
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'COMPUSDT.BINANCE']",1860.92%,-156400.58,"{'2023-01-14': -14406.76, '2023-06-10': -61286.67, '2023-06-11': -10179.18, '2023-06-24': -110733.25}",4
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'OPUSDT.BINANCE']",2224.54%,-156364.11,"{'2023-01-14': -38935.79, '2023-06-10': -60864.59, '2023-06-11': -10187.31, '2023-06-22': -118892.55}",4
"['BCHUSDT.BINANCE', 'MATICUSDT.BINANCE', 'APEUSDT.BINANCE']",751.42%,-34293.24,{'2023-01-14': -29638.58},1
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'LINKUSDT.BINANCE']",292.74%,-16467.32,"{'2023-03-10': -16467.32, '2023-06-25': -10287.8, '2023-06-30': -12060.17}",3
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'BNBUSDT.BINANCE']",6805.84%,-1004324.46,"{'2023-06-24': -177188.58, '2023-06-30': -312061.76}",2
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'XLMUSDT.BINANCE']",660.74%,-127005.23,"{'2023-06-28': -16096.52, '2023-06-30': -20294.98}",2
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'BTCUSDT.BINANCE']",360.66%,-60032.33,"{'2023-03-20': -29570.8, '2023-06-26': -60032.33, '2023-06-27': -29861.47}",3
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'XRPUSDT.BINANCE']",6876.27%,-1004366.88,"{'2023-06-24': -177185.36, '2023-06-30': -312040.38}",2
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'COMPUSDT.BINANCE']",7153.4%,-1004325.51,"{'2023-03-14': -22983.11, '2023-06-24': -177183.29, '2023-06-30': -306578.77}",3
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'OPUSDT.BINANCE']",7306.72%,-1007133.46,"{'2023-01-21': -16357.68, '2023-03-10': -21841.43, '2023-06-22': -12237.45, '2023-06-24': -177183.7, '2023-06-30': -312047.92}",5
"['BCHUSDT.BINANCE', 'LTCUSDT.BINANCE', 'APEUSDT.BINANCE']",6905.03%,-1005269.0,"{'2023-06-24': -177185.18, '2023-06-30': -311308.25}",2
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'BNBUSDT.BINANCE']",213.69%,-9717.8,{},0
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'XLMUSDT.BINANCE']",250.18%,-9752.29,{},0
"['BCHUSDT.BINANCE', 'LINKUSDT.BINANCE', 'BTCUSDT.BINANCE']",351.62%,-60367.55,"{'2023-03-18': -11595.3, '2023-03-20': -27725.52, '2023-06-26': -60367.55, '2023-06-27': -29869.08}",4
