symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"APEUSDT.BINANCE, BCHUSDT.BINANCE",682.58%,-101132.16,"{'2023-03-10': -26566.71, '2023-06-10': -101132.16, '2023-06-24': -17613.91, '2023-07-01': -12069.4, '2023-07-05': -10529.03}",5
"BANDUSDT.BINANCE, SNXUSDT.BINANCE",1245.11%,-175903.92,"{'2023-03-10': -175903.92, '2023-07-14': -102624.24, '2023-07-20': -33166.83}",3
"BANDUSDT.BINANCE, SOLUSDT.BINANCE",797.95%,-110505.57,"{'2023-01-04': -19201.68, '2023-01-09': -10825.92, '2023-01-15': -11402.94, '2023-06-10': -110505.57, '2023-07-14': -48394.15}",5
"BANDUSDT.BINANCE, FILUSDT.BINANCE",1239.8%,-99168.34,"{'2023-02-26': -33498.23, '2023-03-15': -99168.34, '2023-06-10': -31760.89, '2023-06-11': -12766.14}",4
"BANDUSDT.BINANCE, ETHUSDT.BINANCE",556.37%,-34883.85,"{'2023-01-18': -13026.76, '2023-01-21': -34883.85, '2023-01-24': -23450.59, '2023-01-27': -16184.47}",4
"BANDUSDT.BINANCE, DOTUSDT.BINANCE",374.74%,-8726.53,{},0
"BANDUSDT.BINANCE, DOGEUSDT.BINANCE",358.99%,-8532.7,{},0
"BANDUSDT.BINANCE, MKRUSDT.BINANCE",499.75%,-14805.9,"{'2023-01-14': -10059.76, '2023-03-02': -14356.21, '2023-03-11': -11155.21, '2023-03-17': -14805.9}",4
"BANDUSDT.BINANCE, MATICUSDT.BINANCE",626.65%,-56673.56,"{'2023-01-14': -22537.23, '2023-06-10': -56673.56, '2023-06-11': -34781.83}",3
"BANDUSDT.BINANCE, LTCUSDT.BINANCE",419.5%,-11159.89,{'2023-01-23': -11159.89},1
"BANDUSDT.BINANCE, LINKUSDT.BINANCE",276.92%,-8952.25,{},0
"BANDUSDT.BINANCE, BNBUSDT.BINANCE",266.97%,-41866.13,{'2023-06-11': -41866.13},1
"BANDUSDT.BINANCE, XLMUSDT.BINANCE",429.12%,-27517.22,{'2023-06-28': -27517.22},1
"BANDUSDT.BINANCE, BTCUSDT.BINANCE",466.74%,-73610.3,"{'2023-02-03': -73610.3, '2023-07-20': -16643.89}",2
"BANDUSDT.BINANCE, XRPUSDT.BINANCE",391.92%,-21099.71,"{'2023-03-10': -14074.09, '2023-03-29': -10688.71, '2023-07-14': -21099.71}",3
"BANDUSDT.BINANCE, COMPUSDT.BINANCE",527.88%,-23684.86,"{'2023-01-14': -20566.89, '2023-01-28': -14486.61, '2023-03-10': -23684.86, '2023-03-15': -10594.62, '2023-06-25': -13482.96}",5
"BANDUSDT.BINANCE, OPUSDT.BINANCE",1712.53%,-418624.88,"{'2023-01-10': -164156.35, '2023-01-21': -60655.57, '2023-03-14': -418624.88, '2023-03-15': -62690.97}",4
"APEUSDT.BINANCE, BANDUSDT.BINANCE",492.16%,-115275.73,{'2023-06-10': -115275.73},1
"SNXUSDT.BINANCE, SOLUSDT.BINANCE",1742.67%,-383819.51,"{'2023-01-04': -19294.01, '2023-01-09': -10139.91, '2023-01-14': -251079.08, '2023-03-10': -383819.51}",4
"FILUSDT.BINANCE, SNXUSDT.BINANCE",1712.85%,-176209.9,"{'2023-02-18': -31488.43, '2023-02-26': -46219.96, '2023-03-10': -176209.9, '2023-03-15': -138002.76, '2023-07-14': -80924.47, '2023-07-15': -31714.83}",6
"ETHUSDT.BINANCE, SNXUSDT.BINANCE",1373.11%,-175906.34,"{'2023-01-18': -13044.94, '2023-01-21': -35381.09, '2023-01-24': -23380.03, '2023-03-10': -175906.34, '2023-07-14': -105174.85, '2023-07-15': -31728.41}",6
"DOTUSDT.BINANCE, SNXUSDT.BINANCE",445.18%,-175902.57,"{'2023-03-10': -175902.57, '2023-03-13': -49728.32}",2
"DOGEUSDT.BINANCE, SNXUSDT.BINANCE",559.57%,-14001.22,{'2023-03-12': -14001.22},1
"MKRUSDT.BINANCE, SNXUSDT.BINANCE",1209.69%,-175935.77,"{'2023-03-02': -15272.38, '2023-03-10': -175935.77, '2023-07-14': -102192.27, '2023-07-21': -33158.12}",4
"MATICUSDT.BINANCE, SNXUSDT.BINANCE",1392.32%,-176737.64,"{'2023-01-14': -22470.11, '2023-03-10': -176737.64, '2023-07-14': -105263.99, '2023-07-24': -32315.36}",4
"LTCUSDT.BINANCE, SNXUSDT.BINANCE",533.27%,-175900.71,"{'2023-03-10': -175900.71, '2023-03-14': -49733.33}",2
"LINKUSDT.BINANCE, SNXUSDT.BINANCE",475.45%,-175910.38,"{'2023-03-10': -175910.38, '2023-03-26': -48832.48}",2
"BNBUSDT.BINANCE, SNXUSDT.BINANCE",345.23%,-16512.69,"{'2023-01-17': -15145.54, '2023-06-10': -16512.69}",2
"SNXUSDT.BINANCE, XLMUSDT.BINANCE",1348.61%,-175909.27,"{'2023-03-10': -175909.27, '2023-06-28': -54304.97, '2023-07-14': -82159.75, '2023-07-20': -36361.58}",4
"BTCUSDT.BINANCE, SNXUSDT.BINANCE",634.91%,-73755.98,"{'2023-02-03': -73755.98, '2023-03-15': -14073.5}",2
"SNXUSDT.BINANCE, XRPUSDT.BINANCE",1262.75%,-175928.36,"{'2023-03-10': -175928.36, '2023-07-14': -100205.24, '2023-07-15': -34845.32}",3
"COMPUSDT.BINANCE, SNXUSDT.BINANCE",1358.19%,-175904.43,"{'2023-01-14': -20348.71, '2023-01-28': -14229.65, '2023-03-10': -175904.43, '2023-07-14': -97229.87, '2023-07-15': -31763.37}",5
"OPUSDT.BINANCE, SNXUSDT.BINANCE",1055.06%,-177900.98,"{'2023-01-10': -31124.38, '2023-01-14': -21750.8, '2023-02-03': -32015.64, '2023-03-10': -175897.73, '2023-03-14': -177900.98, '2023-07-15': -16277.65}",6
"APEUSDT.BINANCE, SNXUSDT.BINANCE",534.96%,-175908.15,"{'2023-03-10': -175908.15, '2023-06-10': -107714.83}",2
"FILUSDT.BINANCE, SOLUSDT.BINANCE",2029.01%,-260048.82,"{'2023-01-04': -19287.03, '2023-01-14': -251009.77, '2023-03-15': -260048.82}",3
"ETHUSDT.BINANCE, SOLUSDT.BINANCE",883.94%,-111591.65,"{'2023-01-04': -19238.67, '2023-01-21': -36959.82, '2023-01-24': -24472.9, '2023-06-10': -111591.65, '2023-07-14': -50449.83}",5
"DOTUSDT.BINANCE, SOLUSDT.BINANCE",2022.62%,-707088.78,"{'2023-01-04': -19260.15, '2023-01-14': -254191.92, '2023-06-10': -707088.78, '2023-07-14': -145456.19}",4
"DOGEUSDT.BINANCE, SOLUSDT.BINANCE",1267.27%,-316531.41,"{'2023-01-04': -19160.42, '2023-01-14': -251304.73, '2023-06-10': -316531.41}",3
"MKRUSDT.BINANCE, SOLUSDT.BINANCE",1432.46%,-302847.93,"{'2023-01-04': -19190.86, '2023-01-14': -252200.56, '2023-06-10': -302847.93}",3
"MATICUSDT.BINANCE, SOLUSDT.BINANCE",968.76%,-111971.6,"{'2023-01-04': -19254.11, '2023-01-14': -28639.48, '2023-06-10': -111971.6, '2023-07-14': -31001.0}",4
"LTCUSDT.BINANCE, SOLUSDT.BINANCE",846.23%,-193149.63,"{'2023-01-04': -19175.8, '2023-01-21': -67314.71, '2023-06-10': -117132.27, '2023-07-14': -193149.63, '2023-07-24': -17742.57}",5
"LINKUSDT.BINANCE, SOLUSDT.BINANCE",631.62%,-111624.37,"{'2023-01-04': -19221.97, '2023-01-09': -10749.18, '2023-06-10': -111624.37, '2023-07-14': -49244.95}",4
"BNBUSDT.BINANCE, SOLUSDT.BINANCE",537.43%,-109639.35,"{'2023-01-04': -19168.23, '2023-01-09': -10764.47, '2023-06-10': -109639.35, '2023-07-15': -30331.55}",4
"SOLUSDT.BINANCE, XLMUSDT.BINANCE",786.64%,-111476.68,"{'2023-01-04': -19196.68, '2023-01-09': -10739.56, '2023-06-10': -111476.68, '2023-06-28': -52781.24}",4
"BTCUSDT.BINANCE, SOLUSDT.BINANCE",645.69%,-111318.15,"{'2023-01-04': -19179.8, '2023-02-03': -74476.72, '2023-06-10': -111318.15, '2023-07-15': -38424.88}",4
"SOLUSDT.BINANCE, XRPUSDT.BINANCE",632.19%,-115478.8,"{'2023-01-04': -19199.66, '2023-01-09': -10653.49, '2023-03-29': -16875.34, '2023-06-10': -115478.8, '2023-07-14': -50540.99}",5
"COMPUSDT.BINANCE, SOLUSDT.BINANCE",884.69%,-111807.73,"{'2023-01-04': -19280.9, '2023-01-14': -27096.09, '2023-03-15': -10291.26, '2023-06-10': -111807.73, '2023-07-14': -44073.58}",5
"OPUSDT.BINANCE, SOLUSDT.BINANCE",1226.4%,-418548.26,"{'2023-01-04': -19298.62, '2023-01-14': -10851.53, '2023-02-03': -33769.26, '2023-03-14': -418548.26, '2023-06-10': -158319.6, '2023-06-22': -42190.84}",6
"APEUSDT.BINANCE, SOLUSDT.BINANCE",1354.85%,-306095.32,"{'2023-01-04': -19282.43, '2023-01-14': -252889.99, '2023-06-10': -306095.32}",3
"ETHUSDT.BINANCE, FILUSDT.BINANCE",608.52%,-36551.7,"{'2023-01-18': -13739.81, '2023-01-21': -36551.7, '2023-01-24': -24369.22}",3
"DOTUSDT.BINANCE, FILUSDT.BINANCE",556.5%,-47899.75,"{'2023-02-18': -31520.82, '2023-02-26': -47899.75}",2
"DOGEUSDT.BINANCE, FILUSDT.BINANCE",844.99%,-98581.9,"{'2023-01-14': -10215.29, '2023-02-18': -31293.92, '2023-02-26': -46414.09, '2023-03-15': -98581.9}",4
"FILUSDT.BINANCE, MKRUSDT.BINANCE",691.95%,-46554.75,"{'2023-02-18': -31261.59, '2023-02-26': -46554.75, '2023-03-02': -19981.07, '2023-03-11': -10423.62, '2023-03-17': -14131.46}",5
"FILUSDT.BINANCE, MATICUSDT.BINANCE",1965.22%,-103285.13,"{'2023-01-14': -22333.75, '2023-02-18': -40422.5, '2023-03-15': -103285.13, '2023-06-10': -91125.48, '2023-06-22': -35146.51}",5
"FILUSDT.BINANCE, LTCUSDT.BINANCE",894.71%,-101380.6,"{'2023-02-18': -31308.89, '2023-02-26': -48344.72, '2023-03-10': -44200.52, '2023-03-15': -101380.6}",4
"FILUSDT.BINANCE, LINKUSDT.BINANCE",800.04%,-95962.05,"{'2023-02-18': -31358.86, '2023-02-26': -47733.59, '2023-03-15': -95962.05}",3
"BNBUSDT.BINANCE, FILUSDT.BINANCE",812.52%,-48367.05,"{'2023-02-18': -31307.38, '2023-02-26': -48367.05, '2023-03-11': -11023.44, '2023-06-10': -30923.88, '2023-06-12': -12729.21}",5
"FILUSDT.BINANCE, XLMUSDT.BINANCE",659.69%,-31321.55,"{'2023-02-18': -31321.55, '2023-02-26': -28418.59, '2023-06-28': -27897.23}",3
"BTCUSDT.BINANCE, FILUSDT.BINANCE",761.53%,-73860.49,"{'2023-02-03': -73860.49, '2023-02-18': -35884.85, '2023-02-26': -46508.91}",3
"FILUSDT.BINANCE, XRPUSDT.BINANCE",689.37%,-46532.77,"{'2023-02-18': -31307.48, '2023-02-26': -46532.77, '2023-03-29': -10497.13}",3
"COMPUSDT.BINANCE, FILUSDT.BINANCE",656.82%,-31314.39,"{'2023-01-14': -19272.5, '2023-02-18': -31314.39, '2023-06-25': -13389.89}",3
"FILUSDT.BINANCE, OPUSDT.BINANCE",1788.18%,-418735.51,"{'2023-01-10': -164167.34, '2023-02-03': -43665.23, '2023-03-14': -418735.51, '2023-06-22': -64450.12}",4
"APEUSDT.BINANCE, FILUSDT.BINANCE",731.87%,-126120.9,"{'2023-02-18': -31364.68, '2023-02-26': -48499.68, '2023-06-10': -126120.9}",3
"DOTUSDT.BINANCE, ETHUSDT.BINANCE",461.76%,-36529.71,"{'2023-01-18': -13503.66, '2023-01-21': -36529.71, '2023-01-24': -24480.74}",3
"DOGEUSDT.BINANCE, ETHUSDT.BINANCE",474.5%,-34995.05,"{'2023-01-18': -12980.78, '2023-01-21': -34995.05, '2023-01-24': -23399.58, '2023-01-28': -11540.51}",4
"ETHUSDT.BINANCE, MKRUSDT.BINANCE",598.39%,-34899.6,"{'2023-01-18': -13253.79, '2023-01-21': -34899.6, '2023-01-24': -23376.75, '2023-03-02': -20250.27, '2023-03-17': -13052.41}",5
"ETHUSDT.BINANCE, MATICUSDT.BINANCE",582.85%,-56802.71,"{'2023-01-14': -22309.07, '2023-06-10': -56802.71, '2023-06-11': -34789.63}",3
"ETHUSDT.BINANCE, LTCUSDT.BINANCE",196.68%,-6212.36,{},0
"ETHUSDT.BINANCE, LINKUSDT.BINANCE",214.15%,-7766.23,{},0
"BNBUSDT.BINANCE, ETHUSDT.BINANCE",417.96%,-34946.08,"{'2023-01-18': -12971.14, '2023-01-21': -34946.08, '2023-01-24': -23439.7}",3
"ETHUSDT.BINANCE, XLMUSDT.BINANCE",270.7%,-11348.09,{'2023-06-28': -11348.09},1
"BTCUSDT.BINANCE, ETHUSDT.BINANCE",463.62%,-35095.18,"{'2023-01-18': -13108.29, '2023-01-21': -35095.18, '2023-01-24': -23398.87, '2023-03-20': -13653.77}",4
"ETHUSDT.BINANCE, XRPUSDT.BINANCE",588.05%,-35028.24,"{'2023-01-18': -13003.63, '2023-01-21': -35028.24, '2023-01-24': -23378.56, '2023-03-29': -10785.97, '2023-07-14': -21117.13}",5
"COMPUSDT.BINANCE, ETHUSDT.BINANCE",600.42%,-36402.38,"{'2023-01-18': -13521.64, '2023-01-21': -36402.38, '2023-01-24': -24435.96, '2023-01-27': -30400.91}",4
"ETHUSDT.BINANCE, OPUSDT.BINANCE",1317.44%,-164155.11,"{'2023-01-10': -164155.11, '2023-01-21': -65673.49, '2023-02-03': -37367.27, '2023-06-22': -16698.35, '2023-07-15': -17241.13}",5
"APEUSDT.BINANCE, ETHUSDT.BINANCE",552.56%,-76627.24,"{'2023-01-18': -12966.41, '2023-01-21': -34834.62, '2023-01-24': -23377.36, '2023-06-10': -76627.24}",4
"DOGEUSDT.BINANCE, DOTUSDT.BINANCE",168.77%,-10347.39,{'2023-01-14': -10347.39},1
"DOTUSDT.BINANCE, MKRUSDT.BINANCE",254.5%,-10404.8,{'2023-03-11': -10404.8},1
"DOTUSDT.BINANCE, MATICUSDT.BINANCE",521.63%,-22221.66,{'2023-01-14': -22221.66},1
"DOTUSDT.BINANCE, LTCUSDT.BINANCE",264.84%,-9336.77,{},0
"DOTUSDT.BINANCE, LINKUSDT.BINANCE",203.5%,-7501.82,{},0
"BNBUSDT.BINANCE, DOTUSDT.BINANCE",101.17%,-3109.58,{},0
"DOTUSDT.BINANCE, XLMUSDT.BINANCE",331.31%,-27411.16,{'2023-06-28': -27411.16},1
"BTCUSDT.BINANCE, DOTUSDT.BINANCE",299.2%,-73803.87,"{'2023-02-03': -73803.87, '2023-03-23': -25301.78}",2
"DOTUSDT.BINANCE, XRPUSDT.BINANCE",291.0%,-21116.33,"{'2023-03-29': -12745.26, '2023-07-14': -21116.33}",2
"COMPUSDT.BINANCE, DOTUSDT.BINANCE",409.73%,-20293.29,"{'2023-01-14': -20293.29, '2023-03-05': -14980.58, '2023-06-25': -13484.55}",3
"DOTUSDT.BINANCE, OPUSDT.BINANCE",1462.87%,-419076.41,"{'2023-01-10': -164154.27, '2023-03-14': -419076.41, '2023-06-22': -67065.32}",3
"APEUSDT.BINANCE, DOTUSDT.BINANCE",279.98%,-76826.5,{'2023-06-10': -76826.5},1
"DOGEUSDT.BINANCE, MKRUSDT.BINANCE",315.77%,-14438.41,"{'2023-03-02': -14438.41, '2023-03-11': -11842.59}",2
"DOGEUSDT.BINANCE, MATICUSDT.BINANCE",577.44%,-56635.6,"{'2023-01-14': -22343.54, '2023-06-10': -56635.6, '2023-06-11': -34762.25}",3
"DOGEUSDT.BINANCE, LTCUSDT.BINANCE",312.17%,-7204.49,{},0
"DOGEUSDT.BINANCE, LINKUSDT.BINANCE",218.73%,-7630.84,{},0
"BNBUSDT.BINANCE, DOGEUSDT.BINANCE",111.55%,-2863.18,{},0
"DOGEUSDT.BINANCE, XLMUSDT.BINANCE",310.54%,-27391.68,{'2023-06-28': -27391.68},1
"BTCUSDT.BINANCE, DOGEUSDT.BINANCE",301.63%,-73682.62,"{'2023-02-03': -73682.62, '2023-03-20': -14484.03}",2
"DOGEUSDT.BINANCE, XRPUSDT.BINANCE",384.29%,-21546.83,"{'2023-03-22': -21546.83, '2023-03-29': -20117.96, '2023-07-14': -21132.04}",3
"COMPUSDT.BINANCE, DOGEUSDT.BINANCE",384.02%,-13415.84,"{'2023-01-14': -10886.72, '2023-03-15': -10652.04, '2023-06-25': -13415.84}",3
"DOGEUSDT.BINANCE, OPUSDT.BINANCE",1513.57%,-418567.12,"{'2023-01-10': -164129.12, '2023-03-14': -418567.12, '2023-06-22': -65458.84}",3
"APEUSDT.BINANCE, DOGEUSDT.BINANCE",254.84%,-76761.33,{'2023-06-10': -76761.33},1
"MATICUSDT.BINANCE, MKRUSDT.BINANCE",672.01%,-23773.35,"{'2023-01-14': -23773.35, '2023-03-02': -23017.41}",2
"LTCUSDT.BINANCE, MKRUSDT.BINANCE",354.15%,-14456.19,"{'2023-03-02': -14456.19, '2023-03-11': -11824.23}",2
"LINKUSDT.BINANCE, MKRUSDT.BINANCE",357.71%,-14442.92,"{'2023-03-02': -14442.92, '2023-03-11': -11472.16}",2
"BNBUSDT.BINANCE, MKRUSDT.BINANCE",325.68%,-17596.32,"{'2023-03-02': -14473.11, '2023-06-21': -17596.32}",2
"MKRUSDT.BINANCE, XLMUSDT.BINANCE",1331.1%,-106317.06,"{'2023-03-02': -14476.26, '2023-03-11': -11684.12, '2023-06-30': -106317.06, '2023-07-02': -96582.76}",4
"BTCUSDT.BINANCE, MKRUSDT.BINANCE",437.42%,-73772.04,"{'2023-02-03': -73772.04, '2023-03-02': -20193.74, '2023-03-17': -13314.58}",3
"MKRUSDT.BINANCE, XRPUSDT.BINANCE",380.46%,-21116.68,"{'2023-03-02': -14424.2, '2023-03-11': -11554.01, '2023-03-29': -10741.42, '2023-07-14': -21116.68}",4
"COMPUSDT.BINANCE, MKRUSDT.BINANCE",488.98%,-32386.17,"{'2023-01-14': -32386.17, '2023-03-02': -16807.44, '2023-03-15': -10455.04, '2023-06-21': -25560.24, '2023-06-25': -15904.78, '2023-06-30': -10802.63}",6
"MKRUSDT.BINANCE, OPUSDT.BINANCE",1442.09%,-418507.29,"{'2023-01-10': -164158.15, '2023-03-14': -418507.29, '2023-03-17': -72270.85}",3
"APEUSDT.BINANCE, MKRUSDT.BINANCE",306.07%,-10626.76,{'2023-03-11': -10626.76},1
"LTCUSDT.BINANCE, MATICUSDT.BINANCE",604.9%,-58617.37,"{'2023-01-14': -22151.97, '2023-06-10': -58617.37}",2
"LINKUSDT.BINANCE, MATICUSDT.BINANCE",651.99%,-22278.84,{'2023-01-14': -22278.84},1
"BNBUSDT.BINANCE, MATICUSDT.BINANCE",643.92%,-150002.76,"{'2023-01-14': -22253.99, '2023-06-10': -150002.76, '2023-06-11': -90804.64}",3
"MATICUSDT.BINANCE, XLMUSDT.BINANCE",653.36%,-59282.86,"{'2023-01-14': -22265.92, '2023-06-10': -59282.86, '2023-06-28': -37294.26}",3
"BTCUSDT.BINANCE, MATICUSDT.BINANCE",678.27%,-56505.86,"{'2023-01-14': -22338.83, '2023-01-30': -30536.35, '2023-06-10': -56505.86, '2023-06-11': -34788.75}",4
"MATICUSDT.BINANCE, XRPUSDT.BINANCE",659.6%,-59994.02,"{'2023-01-14': -22224.07, '2023-06-10': -59994.02, '2023-06-11': -34786.99}",3
"COMPUSDT.BINANCE, MATICUSDT.BINANCE",627.69%,-22208.56,"{'2023-01-14': -22208.56, '2023-06-25': -13436.08}",2
"MATICUSDT.BINANCE, OPUSDT.BINANCE",1871.64%,-418548.85,"{'2023-01-10': -164138.99, '2023-01-14': -52004.99, '2023-02-03': -41507.28, '2023-03-14': -418548.85, '2023-06-10': -108117.5}",5
"APEUSDT.BINANCE, MATICUSDT.BINANCE",606.32%,-101565.01,"{'2023-01-14': -22295.3, '2023-06-10': -101565.01}",2
"LINKUSDT.BINANCE, LTCUSDT.BINANCE",241.76%,-8844.6,{},0
"BNBUSDT.BINANCE, LTCUSDT.BINANCE",188.01%,-6448.82,{},0
"LTCUSDT.BINANCE, XLMUSDT.BINANCE",1279.29%,-110668.69,"{'2023-06-30': -110668.69, '2023-07-01': -96670.78}",2
"BTCUSDT.BINANCE, LTCUSDT.BINANCE",243.28%,-14541.52,{'2023-01-30': -14541.52},1
"LTCUSDT.BINANCE, XRPUSDT.BINANCE",458.56%,-94688.91,"{'2023-03-10': -10388.94, '2023-03-29': -10104.32, '2023-07-17': -12064.21, '2023-07-20': -94688.91}",4
"COMPUSDT.BINANCE, LTCUSDT.BINANCE",356.34%,-16960.95,"{'2023-03-15': -10430.17, '2023-06-25': -16960.95}",2
"LTCUSDT.BINANCE, OPUSDT.BINANCE",1205.03%,-164140.16,"{'2023-01-10': -164140.16, '2023-03-14': -156597.02}",2
"APEUSDT.BINANCE, LTCUSDT.BINANCE",298.39%,-76801.76,{'2023-06-10': -76801.76},1
"BNBUSDT.BINANCE, LINKUSDT.BINANCE",176.57%,-7594.77,{},0
"LINKUSDT.BINANCE, XLMUSDT.BINANCE",376.31%,-27559.37,{'2023-06-28': -27559.37},1
"BTCUSDT.BINANCE, LINKUSDT.BINANCE",278.89%,-16712.7,{'2023-01-30': -16712.7},1
"LINKUSDT.BINANCE, XRPUSDT.BINANCE",257.12%,-21155.57,{'2023-07-14': -21155.57},1
"COMPUSDT.BINANCE, LINKUSDT.BINANCE",392.11%,-22890.64,"{'2023-03-10': -22890.64, '2023-03-15': -10689.95, '2023-06-25': -13649.09}",3
"LINKUSDT.BINANCE, OPUSDT.BINANCE",1116.11%,-164130.33,"{'2023-01-10': -164130.33, '2023-01-14': -38101.92, '2023-06-22': -16441.54, '2023-07-15': -16510.23}",4
"APEUSDT.BINANCE, LINKUSDT.BINANCE",305.4%,-76689.1,{'2023-06-10': -76689.1},1
"BNBUSDT.BINANCE, XLMUSDT.BINANCE",243.34%,-27309.74,{'2023-06-28': -27309.74},1
"BNBUSDT.BINANCE, BTCUSDT.BINANCE",285.51%,-73710.64,"{'2023-02-03': -73710.64, '2023-03-14': -13325.29}",2
"BNBUSDT.BINANCE, XRPUSDT.BINANCE",277.01%,-89755.59,{'2023-07-20': -89755.59},1
"BNBUSDT.BINANCE, COMPUSDT.BINANCE",348.14%,-13411.29,"{'2023-03-15': -12250.17, '2023-06-25': -13411.29}",2
"BNBUSDT.BINANCE, OPUSDT.BINANCE",1463.69%,-418557.3,"{'2023-01-10': -164136.45, '2023-03-14': -418557.3, '2023-06-22': -68097.19}",3
"APEUSDT.BINANCE, BNBUSDT.BINANCE",217.95%,-115090.14,{'2023-06-10': -115090.14},1
"BTCUSDT.BINANCE, XLMUSDT.BINANCE",282.19%,-16751.72,{'2023-01-30': -16751.72},1
"XLMUSDT.BINANCE, XRPUSDT.BINANCE",410.66%,-30745.03,"{'2023-06-28': -30745.03, '2023-07-14': -21286.91}",2
"COMPUSDT.BINANCE, XLMUSDT.BINANCE",359.93%,-15077.19,"{'2023-06-25': -13573.84, '2023-06-28': -15077.19}",2
"OPUSDT.BINANCE, XLMUSDT.BINANCE",1146.6%,-164145.77,"{'2023-01-10': -164145.77, '2023-02-03': -54834.34, '2023-06-28': -34833.36, '2023-07-15': -12420.43, '2023-07-20': -10322.08}",5
"APEUSDT.BINANCE, XLMUSDT.BINANCE",383.99%,-76722.11,"{'2023-06-10': -76722.11, '2023-06-28': -32353.55}",2
"BTCUSDT.BINANCE, XRPUSDT.BINANCE",427.25%,-89328.76,"{'2023-01-30': -13480.32, '2023-07-17': -11867.76, '2023-07-20': -89328.76}",3
"BTCUSDT.BINANCE, COMPUSDT.BINANCE",394.34%,-73691.96,{'2023-02-03': -73691.96},1
"BTCUSDT.BINANCE, OPUSDT.BINANCE",1016.52%,-164126.49,"{'2023-01-10': -164126.49, '2023-02-03': -103742.42, '2023-06-22': -16753.36}",3
"APEUSDT.BINANCE, BTCUSDT.BINANCE",388.49%,-76578.91,"{'2023-02-03': -73599.22, '2023-03-14': -11124.84, '2023-06-10': -76578.91}",3
"COMPUSDT.BINANCE, XRPUSDT.BINANCE",953.58%,-116069.24,"{'2023-03-10': -23229.15, '2023-03-15': -10726.64, '2023-03-29': -10503.01, '2023-06-25': -15718.06, '2023-07-03': -116069.24, '2023-07-14': -41979.15}",6
"OPUSDT.BINANCE, XRPUSDT.BINANCE",1683.61%,-420762.27,"{'2023-01-10': -164148.78, '2023-03-14': -420762.27, '2023-07-20': -118199.92}",3
