symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"BCHUSDT.BINANCE, OPUSDT.BINANCE",1721.78%,-53950.42,"{'2022-01-22': -18371.97, '2022-03-23': -29779.7, '2022-05-12': -23112.12, '2022-06-03': -53950.42, '2022-08-19': -17394.13, '2022-10-13': -16124.39, '2022-12-03': -24220.96}",7
"APEUSDT.BINANCE, BCHUSDT.BINANCE",3128.13%,-451309.98,"{'2022-01-22': -18371.97, '2022-03-23': -30084.5, '2022-04-21': -208581.36, '2022-04-29': -451309.98, '2022-05-12': -23030.98, '2022-06-13': -106336.87, '2022-08-21': -10163.71}",7
"BANDUSDT.BINANCE, SNXUSDT.BINANCE",26522.33%,-2331233.76,"{'2022-01-04': -27828.31, '2022-01-07': -26413.81, '2022-01-22': -2331233.76, '2022-04-07': -55872.04, '2022-04-20': -70678.98, '2022-05-31': -48717.59, '2022-06-13': -27626.23, '2022-06-20': -26828.46, '2022-07-29': -11516.26, '2022-08-21': -444275.18, '2022-11-07': -10502.53, '2022-11-11': -16929.84}",12
"BANDUSDT.BINANCE, SOLUSDT.BINANCE",3655.02%,-203633.41,"{'2022-01-09': -12681.49, '2022-01-22': -99385.64, '2022-04-12': -16930.12, '2022-05-12': -13563.41, '2022-06-04': -10479.47, '2022-06-13': -15925.78, '2022-07-31': -11654.44, '2022-08-21': -90830.1, '2022-11-09': -203633.41, '2022-12-30': -51253.7}",10
"BANDUSDT.BINANCE, FILUSDT.BINANCE",26064.94%,-2331245.93,"{'2022-01-22': -2331245.93, '2022-03-29': -265629.19, '2022-05-10': -72002.37, '2022-06-13': -138406.36, '2022-07-31': -185782.05, '2022-08-21': -91281.52, '2022-11-04': -91320.95, '2022-11-11': -17231.24, '2022-12-29': -11206.36}",9
"BANDUSDT.BINANCE, ETHUSDT.BINANCE",24185.61%,-2331227.56,"{'2022-01-22': -2331227.56, '2022-04-03': -15181.81, '2022-06-13': -139075.84, '2022-06-19': -16060.97, '2022-07-19': -259992.15, '2022-08-21': -36652.59, '2022-11-11': -17278.07, '2022-12-29': -23434.9}",8
"BANDUSDT.BINANCE, DOTUSDT.BINANCE",25670.97%,-2331245.57,"{'2022-01-09': -13573.25, '2022-01-22': -2331245.57, '2022-04-12': -17094.72, '2022-05-10': -284930.81, '2022-05-13': -14617.34, '2022-06-13': -136691.5, '2022-08-21': -90820.42, '2022-11-11': -17188.52}",8
"BANDUSDT.BINANCE, DOGEUSDT.BINANCE",3117.15%,-123403.32,"{'2022-01-09': -12597.4, '2022-01-22': -123403.32, '2022-05-12': -101702.42, '2022-07-29': -10818.93, '2022-08-21': -90783.01, '2022-10-27': -56066.37, '2022-11-10': -46099.49, '2022-12-29': -10196.65}",8
"BANDUSDT.BINANCE, MKRUSDT.BINANCE",36313.01%,-2331268.76,"{'2022-01-22': -2331268.76, '2022-04-12': -14625.64, '2022-05-13': -193366.61, '2022-07-31': -14245.31, '2022-08-21': -90783.45, '2022-10-10': -35544.96, '2022-11-11': -336899.61, '2022-12-29': -10039.24}",8
"BANDUSDT.BINANCE, MATICUSDT.BINANCE",13555.25%,-338477.58,"{'2022-01-09': -12817.28, '2022-01-22': -54335.29, '2022-05-01': -20827.19, '2022-05-10': -102103.08, '2022-06-21': -21747.66, '2022-07-18': -32625.04, '2022-07-29': -17245.98, '2022-08-21': -92167.72, '2022-11-04': -91296.02, '2022-11-11': -338477.58, '2022-12-29': -10130.41}",11
"BANDUSDT.BINANCE, LTCUSDT.BINANCE",12566.06%,-1048254.22,"{'2022-01-09': -12690.13, '2022-01-22': -1048254.22, '2022-05-12': -89878.54, '2022-06-13': -138552.37, '2022-08-21': -90538.41, '2022-11-11': -17447.02}",6
"BANDUSDT.BINANCE, LINKUSDT.BINANCE",34237.4%,-2331237.71,"{'2022-01-09': -12808.91, '2022-01-22': -2331237.71, '2022-04-03': -15174.09, '2022-05-12': -101697.89, '2022-06-12': -43170.56, '2022-08-21': -90891.8, '2022-11-11': -314282.54}",7
"BANDUSDT.BINANCE, BNBUSDT.BINANCE",23785.61%,-2331227.67,"{'2022-01-22': -2331227.67, '2022-04-03': -15173.69, '2022-05-12': -101698.59, '2022-08-21': -90737.11, '2022-11-11': -17288.18}",5
"BANDUSDT.BINANCE, XLMUSDT.BINANCE",23521.45%,-2331242.21,"{'2022-01-22': -2331242.21, '2022-02-08': -11857.68, '2022-03-31': -30529.04, '2022-04-03': -38660.11, '2022-05-12': -101638.1, '2022-07-29': -10816.62, '2022-08-21': -91269.8}",7
"BANDUSDT.BINANCE, BTCUSDT.BINANCE",23614.28%,-2331233.87,"{'2022-01-09': -12665.87, '2022-01-22': -2331233.87, '2022-06-13': -15755.31, '2022-08-21': -90729.25, '2022-11-11': -17246.94}",5
"BANDUSDT.BINANCE, XRPUSDT.BINANCE",24292.02%,-2331237.8,"{'2022-01-22': -2331237.8, '2022-02-08': -269919.4, '2022-05-10': -10236.0, '2022-06-13': -15625.47, '2022-07-29': -10793.01, '2022-08-21': -91612.1, '2022-09-23': -49220.77, '2022-11-11': -17318.86}",8
"BANDUSDT.BINANCE, COMPUSDT.BINANCE",24940.39%,-2331237.46,"{'2022-01-22': -2331237.46, '2022-04-12': -62101.3, '2022-05-12': -101775.17, '2022-05-28': -13392.78, '2022-06-13': -138237.65, '2022-06-21': -14029.64, '2022-08-21': -90857.81, '2022-11-11': -17003.08}",8
"BANDUSDT.BINANCE, OPUSDT.BINANCE",25456.63%,-2331214.7,"{'2022-01-09': -12613.29, '2022-01-22': -2331214.7, '2022-06-03': -53975.65, '2022-06-19': -49544.96, '2022-07-18': -20280.29, '2022-07-29': -14045.67, '2022-08-21': -90779.61, '2022-09-19': -13590.51, '2022-10-13': -17765.75, '2022-11-04': -48149.25, '2022-11-11': -17461.97}",11
"APEUSDT.BINANCE, BANDUSDT.BINANCE",24493.97%,-2331214.7,"{'2022-01-09': -12613.29, '2022-01-22': -2331214.7, '2022-03-21': -28358.51, '2022-04-21': -164952.11, '2022-04-29': -41213.28, '2022-05-12': -101784.75, '2022-08-21': -90777.85, '2022-11-10': -15659.48, '2022-11-14': -14869.75}",9
"SNXUSDT.BINANCE, SOLUSDT.BINANCE",5069.25%,-444278.11,"{'2022-01-04': -27703.21, '2022-01-22': -36196.14, '2022-01-26': -15511.93, '2022-03-31': -62686.57, '2022-04-07': -55235.16, '2022-04-20': -70623.71, '2022-05-10': -60887.46, '2022-06-04': -10536.48, '2022-06-13': -26514.52, '2022-06-20': -24920.37, '2022-07-31': -11250.29, '2022-08-21': -444278.11, '2022-11-09': -203697.95, '2022-12-28': -14744.5}",14
"FILUSDT.BINANCE, SNXUSDT.BINANCE",8280.96%,-764360.56,"{'2022-01-04': -27738.34, '2022-01-07': -27118.56, '2022-01-22': -764360.56, '2022-03-29': -265676.8, '2022-04-01': -22030.71, '2022-04-07': -55321.66, '2022-04-12': -25390.19, '2022-04-20': -70109.29, '2022-05-10': -71097.61, '2022-05-31': -48552.31, '2022-06-13': -26493.78, '2022-06-20': -23867.86, '2022-07-31': -183589.4, '2022-08-21': -444299.8}",14
"ETHUSDT.BINANCE, SNXUSDT.BINANCE",2812.91%,-259891.01,"{'2022-01-04': -27748.97, '2022-01-07': -27344.73, '2022-01-22': -82171.01, '2022-01-26': -16731.05, '2022-04-20': -70564.74, '2022-05-31': -48528.43, '2022-06-14': -12824.39, '2022-06-19': -16155.51, '2022-07-19': -259891.01, '2022-08-21': -21966.09, '2022-11-10': -64494.05}",11
"DOTUSDT.BINANCE, SNXUSDT.BINANCE",5287.1%,-544129.87,"{'2022-01-04': -27790.26, '2022-01-07': -26917.87, '2022-01-22': -544129.87, '2022-01-26': -15491.1, '2022-04-07': -55253.13, '2022-04-12': -13728.74, '2022-04-20': -70651.2, '2022-05-10': -284883.08, '2022-05-13': -14395.79, '2022-05-31': -48670.37, '2022-06-13': -27153.6, '2022-06-20': -23869.61, '2022-08-21': -444300.41}",13
"DOGEUSDT.BINANCE, SNXUSDT.BINANCE",4107.3%,-443331.31,"{'2022-01-04': -27707.13, '2022-01-07': -27232.37, '2022-01-22': -81254.87, '2022-01-26': -15485.55, '2022-03-31': -49898.19, '2022-04-07': -55160.41, '2022-04-20': -70587.08, '2022-05-12': -13757.58, '2022-05-31': -48529.35, '2022-06-12': -11336.44, '2022-06-20': -23815.41, '2022-08-21': -443331.31, '2022-10-29': -20791.77, '2022-11-10': -64390.76}",14
"MKRUSDT.BINANCE, SNXUSDT.BINANCE",5368.83%,-444275.95,"{'2022-01-04': -27743.01, '2022-01-07': -27217.56, '2022-01-22': -82001.66, '2022-01-26': -16016.85, '2022-04-20': -70598.18, '2022-05-13': -193457.2, '2022-05-26': -17372.35, '2022-05-31': -48680.94, '2022-06-13': -40844.72, '2022-06-20': -67078.6, '2022-08-21': -444275.95, '2022-10-10': -11748.57}",12
"MATICUSDT.BINANCE, SNXUSDT.BINANCE",4054.09%,-442680.33,"{'2022-01-04': -27725.82, '2022-01-22': -79911.82, '2022-01-26': -15974.41, '2022-02-08': -22648.89, '2022-04-07': -56416.55, '2022-04-20': -70623.5, '2022-05-01': -21117.46, '2022-05-10': -102044.03, '2022-05-31': -48486.82, '2022-06-13': -29341.06, '2022-06-20': -26608.65, '2022-07-18': -12763.03, '2022-07-29': -16951.73, '2022-08-21': -442680.33, '2022-11-05': -17652.63}",15
"LTCUSDT.BINANCE, SNXUSDT.BINANCE",3972.53%,-444293.77,"{'2022-01-04': -27717.91, '2022-01-07': -27140.0, '2022-01-22': -81672.7, '2022-01-26': -15448.47, '2022-04-07': -56289.09, '2022-04-20': -70608.97, '2022-05-12': -21426.26, '2022-05-31': -48562.94, '2022-06-13': -10718.15, '2022-06-20': -24063.78, '2022-06-23': -10926.14, '2022-08-21': -444293.77, '2022-11-10': -64431.2}",13
"LINKUSDT.BINANCE, SNXUSDT.BINANCE",4099.26%,-444277.89,"{'2022-01-04': -27818.92, '2022-01-07': -26244.81, '2022-01-22': -81384.93, '2022-01-26': -15459.99, '2022-04-07': -56325.25, '2022-04-20': -70625.35, '2022-05-10': -99558.78, '2022-05-31': -48707.35, '2022-06-12': -41929.18, '2022-06-22': -34908.31, '2022-08-21': -444277.89}",11
"BNBUSDT.BINANCE, SNXUSDT.BINANCE",3640.93%,-444285.98,"{'2022-01-04': -27734.45, '2022-01-07': -27282.91, '2022-01-22': -81605.32, '2022-01-26': -15464.57, '2022-04-07': -55222.57, '2022-04-20': -70634.09, '2022-05-10': -15828.42, '2022-05-31': -48430.86, '2022-06-14': -31148.38, '2022-06-20': -24166.61, '2022-08-21': -444285.98, '2022-11-05': -40766.21}",12
"SNXUSDT.BINANCE, XLMUSDT.BINANCE",4014.76%,-444281.64,"{'2022-01-04': -27756.58, '2022-01-07': -14493.05, '2022-01-22': -79900.94, '2022-01-26': -15438.42, '2022-02-08': -15439.98, '2022-04-07': -55270.73, '2022-04-20': -70623.82, '2022-05-10': -15277.28, '2022-05-31': -48583.5, '2022-06-13': -26373.29, '2022-06-20': -23841.73, '2022-08-21': -444281.64, '2022-11-10': -64540.44}",13
"BTCUSDT.BINANCE, SNXUSDT.BINANCE",3169.24%,-444285.76,"{'2022-01-04': -27717.58, '2022-01-07': -27211.01, '2022-01-22': -82434.11, '2022-01-26': -17801.53, '2022-04-07': -55214.5, '2022-04-20': -70699.69, '2022-05-31': -48569.32, '2022-06-20': -26566.02, '2022-08-21': -444285.76, '2022-11-10': -13074.74}",10
"SNXUSDT.BINANCE, XRPUSDT.BINANCE",4172.06%,-444289.25,"{'2022-01-04': -27721.11, '2022-01-07': -27252.66, '2022-01-22': -82089.43, '2022-01-26': -15431.63, '2022-02-08': -267477.11, '2022-04-07': -56104.23, '2022-04-20': -70646.5, '2022-05-10': -10321.19, '2022-05-31': -48548.45, '2022-06-13': -22464.66, '2022-06-20': -23908.46, '2022-08-21': -444289.25, '2022-09-23': -49161.62, '2022-11-10': -64500.56}",14
"COMPUSDT.BINANCE, SNXUSDT.BINANCE",9557.75%,-685665.66,"{'2022-01-04': -27819.82, '2022-01-07': -26758.07, '2022-01-22': -685665.66, '2022-01-26': -15468.61, '2022-04-07': -55292.07, '2022-04-20': -70604.11, '2022-05-12': -33789.0, '2022-05-28': -13357.75, '2022-05-31': -20917.2, '2022-06-14': -41556.12, '2022-06-20': -26675.1, '2022-08-21': -444278.35, '2022-11-10': -64481.59}",13
"OPUSDT.BINANCE, SNXUSDT.BINANCE",4025.42%,-446957.33,"{'2022-01-04': -27736.84, '2022-01-07': -27134.58, '2022-01-22': -82434.21, '2022-01-26': -15397.22, '2022-04-07': -56370.81, '2022-04-20': -70595.36, '2022-05-31': -48396.58, '2022-06-03': -21775.09, '2022-06-13': -28889.16, '2022-06-20': -62514.6, '2022-07-18': -20259.03, '2022-07-28': -11469.14, '2022-08-21': -446957.33, '2022-10-13': -16150.62}",14
"APEUSDT.BINANCE, SNXUSDT.BINANCE",3678.39%,-444301.47,"{'2022-01-04': -27736.84, '2022-01-07': -27134.58, '2022-01-22': -82434.21, '2022-01-26': -15397.22, '2022-03-21': -28344.66, '2022-04-07': -55869.21, '2022-04-21': -164979.24, '2022-04-29': -41435.7, '2022-05-31': -48543.92, '2022-06-13': -15560.58, '2022-06-20': -24016.27, '2022-07-18': -22156.93, '2022-07-29': -12691.83, '2022-08-21': -444301.47, '2022-11-10': -15706.61}",15
"FILUSDT.BINANCE, SOLUSDT.BINANCE",5567.14%,-596878.75,"{'2022-01-22': -103063.62, '2022-03-01': -10003.69, '2022-03-29': -265654.32, '2022-04-12': -15286.76, '2022-05-10': -596878.75, '2022-06-04': -10537.16, '2022-06-13': -72080.4, '2022-07-31': -11977.17, '2022-08-22': -19916.76, '2022-11-09': -203953.43, '2022-12-28': -14520.32}",11
"ETHUSDT.BINANCE, SOLUSDT.BINANCE",2265.14%,-260052.27,"{'2022-01-22': -11961.46, '2022-06-04': -10518.12, '2022-06-13': -72788.55, '2022-07-19': -260052.27, '2022-07-31': -11168.44, '2022-11-09': -203625.75}",6
"DOTUSDT.BINANCE, SOLUSDT.BINANCE",1132.19%,-75966.62,"{'2022-01-22': -75966.62, '2022-08-22': -11925.14}",2
"DOGEUSDT.BINANCE, SOLUSDT.BINANCE",1845.3%,-72193.88,"{'2022-01-22': -42689.63, '2022-04-02': -28640.49, '2022-05-12': -13207.07, '2022-05-16': -17865.13, '2022-06-04': -10506.19, '2022-06-13': -72193.88, '2022-07-31': -11502.49, '2022-11-08': -13453.58, '2022-12-28': -14506.78}",9
"MKRUSDT.BINANCE, SOLUSDT.BINANCE",3579.52%,-205786.03,"{'2022-01-22': -14559.54, '2022-04-12': -16602.55, '2022-05-13': -193665.39, '2022-06-04': -10515.23, '2022-07-31': -11424.98, '2022-10-10': -35599.69, '2022-11-09': -205786.03}",7
"MATICUSDT.BINANCE, SOLUSDT.BINANCE",2749.16%,-74310.75,"{'2022-01-22': -68786.76, '2022-02-08': -22472.44, '2022-05-01': -20860.49, '2022-05-10': -74310.75, '2022-06-04': -10508.17, '2022-06-21': -19652.37, '2022-07-18': -32754.99, '2022-07-31': -11213.68, '2022-11-05': -17665.69, '2022-11-10': -70219.67}",10
"LTCUSDT.BINANCE, SOLUSDT.BINANCE",2713.46%,-206117.37,"{'2022-01-22': -42792.45, '2022-04-12': -10174.68, '2022-05-12': -89878.89, '2022-06-13': -72196.93, '2022-07-31': -11161.92, '2022-11-09': -206117.37, '2022-12-28': -14394.58}",7
"LINKUSDT.BINANCE, SOLUSDT.BINANCE",2684.39%,-203031.65,"{'2022-01-22': -88493.48, '2022-05-12': -32367.47, '2022-06-04': -10515.62, '2022-06-12': -42036.43, '2022-07-31': -11248.05, '2022-08-21': -14262.3, '2022-11-09': -203031.65, '2022-12-28': -13965.71}",8
"BNBUSDT.BINANCE, SOLUSDT.BINANCE",1943.76%,-204146.46,"{'2022-01-22': -31532.12, '2022-04-02': -27414.05, '2022-05-12': -32359.96, '2022-06-04': -10504.32, '2022-06-12': -15867.02, '2022-07-31': -11170.57, '2022-11-05': -40700.36, '2022-11-09': -204146.46, '2022-12-28': -14663.89}",9
