symbols,total_pnl,max_drawdown,over_drawdown,over_drawdown_count
"SOLUSDT.BINANCE, XRPUSDT.BINANCE",1083.07%,-81529.11,"{'2023-01-04': -81529.11, '2023-01-09': -19546.79, '2023-03-10': -36666.73, '2023-03-22': -20611.87, '2023-03-29': -15161.96, '2023-06-10': -73149.66, '2023-07-14': -28682.32}",7

"COMPUSDT.BINANCE, SOLUSDT.BINANCE",1709.3%,-92443.89,"{'2023-01-04': -81610.35, '2023-01-14': -92443.89, '2023-03-10': -67208.97, '2023-03-15': -25675.06, '2023-07-03': -13188.86, '2023-07-14': -19379.72}",6

"OPUSDT.BINANCE, SOLUSDT.BINANCE",2105.36%,-580822.5,"{'2023-01-04': -81628.06, '2023-01-14': -20888.09, '2023-01-21': -93728.1, '2023-03-10': -36711.08, '2023-03-14': -59219.7, '2023-06-10': -580822.5, '2023-06-22': -165264.3}",7

"APEUSDT.BINANCE, SOLUSDT.BINANCE",1283.78%,-382791.7,"{'2023-01-10': -13104.79, '2023-01-15': -10188.25, '2023-03-10': -36705.33, '2023-05-11': -11398.54, '2023-06-10': -382791.7}",5

"ETHUSDT.BINANCE, FILUSDT.BINANCE",1378.86%,-104322.78,"{'2023-01-14': -39730.21, '2023-01-18': -104322.78, '2023-02-22': -39757.57, '2023-03-05': -12504.95, '2023-03-15': -10493.02, '2023-06-10': -12666.43}",6

"DOTUSDT.BINANCE, FILUSDT.BINANCE",612.51%,-40317.13,"{'2023-02-17': -16159.68, '2023-02-20': -40317.13, '2023-03-05': -10423.9, '2023-03-14': -10071.83}",4

"DOGEUSDT.BINANCE, FILUSDT.BINANCE",960.88%,-55673.86,"{'2023-02-18': -55673.86, '2023-02-26': -32382.52, '2023-03-05': -12783.81, '2023-06-10': -12613.39}",4

"FILUSDT.BINANCE, MKRUSDT.BINANCE",1299.65%,-55641.53,"{'2023-01-10': -26948.95, '2023-01-23': -21758.5, '2023-02-18': -55641.53, '2023-02-26': -32365.49, '2023-03-05': -11281.8, '2023-03-16': -48433.17}",6

"FILUSDT.BINANCE, MATICUSDT.BINANCE",34198.5%,-4358268.64,"{'2023-01-10': -32542.61, '2023-01-14': -117343.2, '2023-02-19': -160566.0, '2023-06-11': -4358268.64, '2023-06-12': -3059246.98}",5

"FILUSDT.BINANCE, LTCUSDT.BINANCE",1764.02%,-546761.22,"{'2023-01-23': -16617.99, '2023-02-17': -14081.27, '2023-03-10': -546761.22, '2023-03-14': -204429.64}",4

"FILUSDT.BINANCE, LINKUSDT.BINANCE",720.18%,-16685.17,"{'2023-02-17': -12403.85, '2023-02-26': -15868.89, '2023-03-05': -12573.76, '2023-03-10': -14549.33, '2023-04-24': -16685.17, '2023-06-11': -12905.52}",6

"BNBUSDT.BINANCE, FILUSDT.BINANCE",643.3%,-17133.1,"{'2023-01-15': -17133.1, '2023-02-17': -16165.08, '2023-02-26': -16927.75, '2023-03-05': -12704.41, '2023-06-10': -12684.15}",5

"FILUSDT.BINANCE, XLMUSDT.BINANCE",855.91%,-55701.49,"{'2023-02-18': -55701.49, '2023-02-26': -36077.78, '2023-06-10': -12730.96, '2023-06-28': -16146.55}",4

"BTCUSDT.BINANCE, FILUSDT.BINANCE",1083.46%,-53942.58,"{'2023-01-15': -12036.56, '2023-02-18': -53942.58, '2023-02-26': -36034.28, '2023-03-14': -30500.13, '2023-06-10': -12685.31, '2023-06-24': -15079.97}",6

"FILUSDT.BINANCE, XRPUSDT.BINANCE",1616.55%,-63324.58,"{'2023-01-10': -63324.58, '2023-01-14': -31639.66, '2023-02-18': -54789.64, '2023-02-26': -36240.74, '2023-03-22': -16508.59, '2023-03-29': -14076.65, '2023-07-14': -46876.06}",7

"COMPUSDT.BINANCE, FILUSDT.BINANCE",1076.41%,-50978.13,"{'2023-01-14': -19068.14, '2023-02-18': -50642.83, '2023-02-26': -31434.96, '2023-03-05': -12640.95, '2023-03-14': -10346.52, '2023-06-12': -50978.13, '2023-07-12': -14350.91}",7

"FILUSDT.BINANCE, OPUSDT.BINANCE",2694.31%,-159192.74,"{'2023-01-10': -42953.21, '2023-01-21': -93700.59, '2023-02-19': -159192.74, '2023-03-13': -71159.39, '2023-07-04': -27361.46}",5

"APEUSDT.BINANCE, FILUSDT.BINANCE",1095.73%,-383804.02,"{'2023-01-10': -13112.41, '2023-02-17': -16183.22, '2023-03-16': -45164.19, '2023-06-10': -383804.02, '2023-06-22': -68151.86}",5

"DOTUSDT.BINANCE, ETHUSDT.BINANCE",699.09%,-46004.47,"{'2023-01-14': -17794.28, '2023-01-18': -46004.47, '2023-02-20': -40131.62, '2023-03-15': -32543.34}",4

"DOGEUSDT.BINANCE, ETHUSDT.BINANCE",958.37%,-104347.38,"{'2023-01-14': -39680.04, '2023-01-18': -104347.38, '2023-03-15': -46221.76}",3

"ETHUSDT.BINANCE, MKRUSDT.BINANCE",859.58%,-67201.33,"{'2023-01-10': -26945.33, '2023-01-18': -67201.33, '2023-03-15': -33080.31}",3

"ETHUSDT.BINANCE, MATICUSDT.BINANCE",4834.92%,-558258.79,"{'2023-01-14': -39712.81, '2023-01-18': -104331.98, '2023-06-11': -558258.79, '2023-06-22': -393198.58}",4

"ETHUSDT.BINANCE, LTCUSDT.BINANCE",1047.69%,-104313.59,"{'2023-01-14': -39467.51, '2023-01-18': -104313.59, '2023-03-10': -87430.92, '2023-03-15': -32310.36}",4

"ETHUSDT.BINANCE, LINKUSDT.BINANCE",1049.62%,-104377.34,"{'2023-01-14': -39631.84, '2023-01-18': -104377.34, '2023-01-23': -41786.1, '2023-06-25': -15079.66}",4

"BNBUSDT.BINANCE, ETHUSDT.BINANCE",829.86%,-104334.11,"{'2023-01-14': -39611.36, '2023-01-18': -104334.11, '2023-03-15': -32340.96}",3

"ETHUSDT.BINANCE, XLMUSDT.BINANCE",1507.61%,-178042.69,"{'2023-01-14': -39611.63, '2023-01-18': -104339.86, '2023-06-28': -178042.69, '2023-07-14': -24314.57}",4

"BTCUSDT.BINANCE, ETHUSDT.BINANCE",859.76%,-104396.82,"{'2023-01-14': -39687.59, '2023-01-18': -104396.82, '2023-01-22': -44738.12}",3

"ETHUSDT.BINANCE, XRPUSDT.BINANCE",1007.96%,-104376.35,"{'2023-01-14': -39580.1, '2023-01-18': -104376.35, '2023-03-22': -38571.2, '2023-07-14': -46864.59}",4

"COMPUSDT.BINANCE, ETHUSDT.BINANCE",1046.86%,-104362.77,"{'2023-01-14': -40305.71, '2023-01-18': -104362.77}",2

"ETHUSDT.BINANCE, OPUSDT.BINANCE",986.11%,-93716.49,"{'2023-01-14': -18805.88, '2023-01-18': -45715.42, '2023-01-21': -93716.49, '2023-03-15': -10953.1}",4

"APEUSDT.BINANCE, ETHUSDT.BINANCE",1117.82%,-104333.43,"{'2023-01-14': -39993.95, '2023-01-18': -104333.43, '2023-06-10': -92862.69, '2023-06-22': -16624.03}",4

"DOGEUSDT.BINANCE, DOTUSDT.BINANCE",635.27%,-36006.06,{'2023-01-14': -36006.06},1

"DOTUSDT.BINANCE, MKRUSDT.BINANCE",505.46%,-75206.28,"{'2023-01-14': -75206.28, '2023-06-21': -15321.69}",2

"DOTUSDT.BINANCE, MATICUSDT.BINANCE",1638.17%,-97825.24,{'2023-01-14': -97825.24},1

"DOTUSDT.BINANCE, LTCUSDT.BINANCE",563.85%,-71594.6,"{'2023-02-20': -35086.59, '2023-03-10': -71594.6, '2023-03-14': -26249.02}",3

"DOTUSDT.BINANCE, LINKUSDT.BINANCE",478.74%,-34062.91,"{'2023-01-14': -34062.91, '2023-02-19': -13632.53}",2

"BNBUSDT.BINANCE, DOTUSDT.BINANCE",212.7%,-9995.43,{},0

"DOTUSDT.BINANCE, XLMUSDT.BINANCE",359.08%,-14869.5,{'2023-01-14': -14869.5},1

"BTCUSDT.BINANCE, DOTUSDT.BINANCE",354.45%,-18864.55,"{'2023-03-14': -18864.55, '2023-06-24': -11382.51}",2

"DOTUSDT.BINANCE, XRPUSDT.BINANCE",359.06%,-16520.84,"{'2023-03-22': -16520.84, '2023-03-29': -15428.34}",2

"COMPUSDT.BINANCE, DOTUSDT.BINANCE",606.94%,-21308.56,"{'2023-01-14': -19172.27, '2023-03-15': -21308.56, '2023-06-30': -12648.4, '2023-07-03': -16031.9}",4

"DOTUSDT.BINANCE, OPUSDT.BINANCE",875.43%,-93724.3,"{'2023-01-14': -15666.59, '2023-01-21': -93724.3, '2023-02-17': -16416.99, '2023-03-13': -22706.69, '2023-06-22': -55050.19, '2023-06-24': -26849.88}",6

"APEUSDT.BINANCE, DOTUSDT.BINANCE",595.79%,-233417.42,"{'2023-05-11': -11343.91, '2023-06-10': -233417.42, '2023-06-22': -42402.11}",3

"DOGEUSDT.BINANCE, MKRUSDT.BINANCE",471.88%,-26941.03,{'2023-01-10': -26941.03},1

"DOGEUSDT.BINANCE, MATICUSDT.BINANCE",5966.4%,-591691.48,"{'2023-01-14': -147282.54, '2023-06-11': -591691.48, '2023-06-22': -384907.97}",3

"DOGEUSDT.BINANCE, LTCUSDT.BINANCE",403.25%,-64590.0,"{'2023-03-10': -64590.0, '2023-03-13': -25074.74}",2

"DOGEUSDT.BINANCE, LINKUSDT.BINANCE",430.07%,-24587.41,"{'2023-03-10': -24587.41, '2023-04-24': -17628.9}",2

"BNBUSDT.BINANCE, DOGEUSDT.BINANCE",255.65%,-13049.35,"{'2023-01-14': -13049.35, '2023-06-12': -10167.69}",2

"DOGEUSDT.BINANCE, XLMUSDT.BINANCE",541.11%,-23152.97,"{'2023-01-14': -23152.97, '2023-01-24': -11578.7, '2023-06-28': -13260.23}",3

"BTCUSDT.BINANCE, DOGEUSDT.BINANCE",495.66%,-30548.12,"{'2023-03-14': -30548.12, '2023-06-24': -11328.77}",2

