datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2019-07-08 13:37:00,RB,空,平仓,10,30.0,172.0,900.0,49800.0
2019-07-08 13:38:00,RB,空,开仓,10,30,177.0,,
2019-07-08 13:54:00,RB,多,平仓,10,30.0,179.0,-600.0,49200.0
2019-07-08 21:05:00,RB,空,开仓,10,30,182.0,,
2019-07-08 21:40:00,RB,多,平仓,10,30.0,189.0,-2100.0,47100.0
2019-07-08 22:14:00,RB,空,开仓,10,30,193.0,,
2019-07-08 22:24:00,RB,多,平仓,10,30.0,191.0,600.0,47700.0
2019-07-10 21:03:00,RB,多,开仓,10,30,177.0,,
2019-07-10 21:27:00,RB,空,平仓,10,30.0,173.0,-1200.0,46500.0
2019-07-11 13:36:00,RB,空,开仓,10,30,179.0,,
2019-07-11 13:54:00,RB,多,平仓,10,30.0,180.0,-300.0,46200.0
2019-07-11 14:50:00,RB,多,开仓,10,30,177.0,,
2019-07-11 21:01:00,RB,空,平仓,10,30.0,179.0,600.0,46800.0
2019-07-12 09:16:00,RB,空,开仓,10,30,178.0,,
2019-07-12 09:26:00,RB,多,平仓,10,30.0,176.0,600.0,47400.0
2019-07-12 14:34:00,RB,多,开仓,10,30,168.0,,
2019-07-12 14:42:00,RB,空,平仓,10,30.0,170.0,600.0,48000.0
2019-07-15 09:13:00,RB,空,开仓,10,30,168.0,,
2019-07-15 09:26:00,RB,多,平仓,10,30.0,167.0,300.0,48300.0
2019-07-15 13:40:00,RB,多,开仓,10,30,169.0,,
2019-07-15 13:48:00,RB,空,平仓,10,30.0,171.0,600.0,48900.0
2019-07-15 14:59:00,RB,空,开仓,10,30,179.0,,
2019-07-15 21:33:00,RB,多,平仓,10,30.0,190.0,-3300.0,45600.0
2019-07-15 21:34:00,RB,多,开仓,10,30,186.0,,
2019-07-15 21:43:00,RB,空,平仓,10,30.0,188.0,600.0,46200.0
2019-07-16 09:18:00,RB,多,开仓,10,30,186.0,,
2019-07-16 09:47:00,RB,空,平仓,10,30.0,181.0,-1500.0,44700.0
2019-07-16 14:16:00,RB,空,开仓,10,30,188.0,,
2019-07-16 14:42:00,RB,多,平仓,10,30.0,192.0,-1200.0,43500.0
2019-07-16 21:04:00,RB,多,开仓,10,30,189.0,,
2019-07-16 21:07:00,RB,空,平仓,10,30.0,193.0,1200.0,44700.0
2019-07-17 10:11:00,RB,多,开仓,10,30,189.0,,
2019-07-17 10:42:00,RB,空,平仓,10,30.0,189.0,,
2019-07-17 14:56:00,RB,空,开仓,10,30,197.0,,
2019-07-17 14:59:00,RB,多,平仓,10,30.0,194.0,900.0,45600.0
2019-07-17 21:07:00,RB,多,开仓,10,30,190.0,,
2019-07-17 21:17:00,RB,空,平仓,10,30.0,192.0,600.0,46200.0
2019-07-18 09:18:00,RB,多,开仓,10,30,185.0,,
2019-07-18 09:29:00,RB,空,平仓,10,30.0,186.0,300.0,46500.0
2019-07-18 13:33:00,RB,多,开仓,10,30,178.0,,
2019-07-18 13:44:00,RB,空,平仓,10,30.0,179.0,300.0,46800.0
2019-07-18 21:03:00,RB,多,开仓,10,30,169.0,,
2019-07-18 21:12:00,RB,空,平仓,10,30.0,171.0,600.0,47400.0
2019-07-19 14:15:00,RB,多,开仓,10,30,166.0,,
2019-07-19 14:21:00,RB,空,平仓,10,30.0,169.0,900.0,48300.0
2019-07-19 21:03:00,RB,空,开仓,10,30,179.0,,
2019-07-19 21:07:00,RB,多,平仓,10,30.0,176.0,900.0,49200.0
2019-07-19 21:20:00,RB,多,开仓,10,30,172.0,,
2019-07-19 21:37:00,RB,空,平仓,10,30.0,168.0,-1200.0,48000.0
2019-07-22 09:01:00,RB,空,开仓,10,30,170.0,,
2019-07-22 09:08:00,RB,多,平仓,10,30.0,168.0,600.0,48600.0
2019-07-22 11:13:00,RB,空,开仓,10,30,175.0,,
2019-07-22 11:20:00,RB,多,平仓,10,30.0,172.0,900.0,49500.0
2019-07-23 21:01:00,RB,多,开仓,10,30,163.0,,
2019-07-23 21:09:00,RB,空,平仓,10,30.0,166.0,900.0,50400.0
2019-07-23 22:56:00,RB,空,开仓,10,30,160.0,,
2019-07-24 09:05:00,RB,多,平仓,10,30.0,157.0,900.0,51300.0
2019-07-24 13:33:00,RB,多,开仓,10,30,153.0,,
2019-07-24 13:42:00,RB,空,平仓,10,30.0,156.0,900.0,52200.0
2019-07-25 21:18:00,RB,多,开仓,10,30,165.0,,
2019-07-25 21:26:00,RB,空,平仓,10,30.0,168.0,900.0,53100.0
2019-07-26 22:16:00,RB,空,开仓,10,30,166.0,,
2019-07-26 22:20:00,RB,多,平仓,10,30.0,162.0,1200.0,54300.0
2019-07-29 09:08:00,RB,多,开仓,10,30,157.0,,
2019-07-29 09:10:00,RB,空,平仓,10,30.0,161.0,1200.0,55500.0
2019-07-29 23:00:00,RB,空,开仓,10,30,156.0,,
2019-07-30 09:07:00,RB,多,平仓,10,30.0,154.0,600.0,56100.0
2019-07-31 10:39:00,RB,多,开仓,10,30,152.0,,
2019-07-31 10:44:00,RB,空,平仓,10,30.0,155.0,900.0,57000.0
2019-07-31 21:05:00,RB,空,开仓,10,30,156.0,,
2019-07-31 21:14:00,RB,多,平仓,10,30.0,154.0,600.0,57600.0
2019-08-01 21:01:00,RB,多,开仓,10,30,140.0,,
2019-08-01 21:14:00,RB,空,平仓,10,30.0,138.0,-600.0,57000.0
2019-08-02 09:02:00,RB,多,开仓,10,30,125.0,,
2019-08-02 09:20:00,RB,空,平仓,10,30.0,117.0,-2400.0,54600.0
2019-08-02 10:10:00,RB,多,开仓,10,30,113.0,,
2019-08-02 10:33:00,RB,空,平仓,10,30.0,115.0,600.0,55200.0
2019-08-02 14:43:00,RB,空,开仓,10,30,117.0,,
